city,method,sample_size,p50,p75,p95
tokyo,LLM,100,0,0,0
tokyo,LLM,1000,0,0,0
tokyo,LLM,10000,0,0,0
tokyo,RAG,100,0,0,0
tokyo,RAG,1000,0,0,0
tokyo,RAG,10000,0,0,0
tokyo,LightRAG,100,0,0,0
tokyo,LightRAG,1000,0,0,0
tokyo,LightRAG,10000,0,0,0
tokyo,UrbanRAG,100,0,0,0
tokyo,UrbanRAG,1000,0,0,0
tokyo,UrbanRAG,10000,0,0,0
shizuoka,LLM,100,0,0,0
shizuoka,LLM,1000,0,0,0
shizuoka,LLM,10000,0,0,0
shizuoka,RAG,100,0,0,0
shizuoka,RAG,1000,0,0,0
shizuoka,RAG,10000,0,0,0
shizuoka,LightRAG,100,0,0,0
shizuoka,LightRAG,1000,0,0,0
shizuoka,LightRAG,10000,0,0,0
shizuoka,UrbanRAG,100,0,0,0
shizuoka,UrbanRAG,1000,0,0,0
shizuoka,UrbanRAG,10000,0,0,0
susono,LLM,100,0,0,0
susono,LLM,1000,0,0,0
susono,RAG,100,0,0,0
susono,RAG,1000,0,0,0
susono,LightRAG,100,0,0,0
susono,LightRAG,1000,0,0,0
susono,UrbanRAG,100,0,0,0
susono,UrbanRAG,1000,0,0,0
